id,variety,planting_date,expected_yield,care_requirements
1,YVAy,2026-01-01,,Move source wonder relate service. Tv important hope about catch than method. Bag down stock computer.
2,bZkV,2026-01-28,660843703495.106,Leader change own education south run agree usually. Many group public. Door green save identify establish manage hotel. Morning explain light alone mother.
3,JqRc,2026-01-23,54194274.5814795,Again science alone. Reflect upon yet seven several might history strong. Decade not forget why under.
4,LRUI,2026-01-18,,Former section across staff. Choose general fact fall manager idea issue.
5,kaYj,,57919.4835479689,Travel professional production election partner audience very.
6,rlHk,2026-01-04,9497.88063679579,His itself find add sing standard exactly election. Never wrong couple site social suddenly seek. Six reduce sit his.
7,DcJA,,257.70275210211,Piece physical market room eat. Ever war unit back large.
8,,,-884.985733215455,Clearly type up play wait. Join serious green foreign film.
9,FaWq,2026-01-10,,Itself play pull recent state old. Stop camera report foreign agency list. Career bank ten guess attorney response provide.
10,Ecub,,-972023461.131355,Provide other identify fill art by. Treat relate respond rich.
11,UHcJ,2026-01-19,,Son spend ball company enter son. Red effect else very your choice.
12,CJjc,2026-01-29,832776848568.323,Possible lead draw learn city. Tree care sign arm bar military.
13,,,60194413249863.9,Later street mention would technology budget first. Consumer by full. Cover including artist find hope appear should represent.
14,weAd,2026-01-22,-721895610.324788,
15,KZDA,2026-01-09,-37176388247052.3,Group but go computer. Real to follow so second reason live teach. Television so teach energy possible believe step.
16,vwgE,2026-01-02,-42777146655.0,Church nature chair company TV policy. Wall various foreign agency when. Question analysis drive example color draw difficult there.
17,DxKi,2026-01-19,,
18,KXak,2026-01-29,-2745123531801.0,About another understand of challenge check skin. Industry nothing rather. Two hair describe hundred candidate.
19,KQwg,,,Early high trouble drive loss turn. Structure your those head. Page single theory.
20,rcNu,2026-01-19,8756.17389110009,Should room with. Under require page claim future in. Truth ten seven both happy central group line.
21,HWdm,2026-01-13,,
22,lULu,,-2724826157.38156,Alone improve heart decade care book. Close issue huge away represent race. Nation network college debate direction moment.
23,FwNV,,-2938584896.53591,Garden maybe forward reason. Worker season figure they yeah get.
24,EGtA,2026-01-20,2.692123870328,Plant wonder thing blood single recently other owner. Book read pass heart soldier action throughout. Five put hard recent project speech director. No still back task.
25,kbPk,2026-01-26,58812253.6795062,Onto try commercial. North trouble upon beautiful open free.
26,GDcE,2026-01-05,-5987574479.34774,Must city system story century. While long not improve.
27,fqEo,2026-01-06,,
28,sjxZ,,,Probably arm program only. According television next sense make.
29,SgEJ,2026-01-17,-1.724499732137,Marriage worker ever across great. Unit begin fight institution school white team.
30,josm,2026-01-24,-4635.83255105807,Husband matter likely prevent. Place grow everyone win should research.
31,sgEs,2026-01-06,5771623.32686318,Material body himself home message woman. Stock determine human find discussion military ability.
32,,2026-01-23,-956680936.995935,Worker offer American behavior customer force. Congress recognize agreement well.
33,ayIa,2026-01-07,,Paper tree bank letter summer minute perform indeed. Computer doctor up high southern job high.
34,WcNr,,-51718724236119.5,Other begin war resource. Agency center sign career debate. Cut meet build black treat buy.
35,,,-2997686.61055995,Can effort bad measure star tell. Eat lose various agency rich accept if. Difference drop local cell kid growth main.
36,,2026-01-08,3.88792082865304,
37,Rhdj,2026-01-17,-87509400463519.2,Question in court hospital skin soon. Thought radio minute rich consumer type. Old charge read management production up our allow.
38,FMuJ,2026-01-10,18880943658282.3,Difference range technology serious international position write those. Management court head successful response hospital. Suffer life chair senior seem west.
39,zDTI,2026-01-11,22847213.425866,Take one them in. Plant whether protect most trade.
40,tyII,2026-01-04,-269519020185.26,Serious fine seat should dream whose agreement tell. Happen letter body language there wonder him. Until direction opportunity very analysis firm once.
41,,,8846861.64349432,History the bring parent very card. Those budget involve all. Enough break factor pattern PM.
42,VIId,2026-01-17,169264.974996953,Pm election case. Party individual so attack. Bit avoid yourself campaign alone subject development.
43,,,3118127167737.88,
44,Qozm,,,Give especially win give yourself system. Letter finish campaign night simply. Bar standard final. Along particularly factor boy Republican without.
45,GJwC,,,Me story but order leg food. Drop join recognize all structure.
46,OreQ,2026-01-16,-52004498.821326,Cause others skill industry old effect fine. Majority large but hear minute discuss space.
47,ybpf,2026-01-15,2267331031678.56,Moment buy east example identify likely.
48,dkTH,2026-01-18,30713957050.4928,Necessary economy agree discussion. Understand relate church serve can street.
49,RkVp,2026-01-26,-90.372553987489,Artist cold measure defense mouth. Billion talk mouth tonight throw action section. Second late every include generation.
50,zqUe,2026-01-08,97094.3668763555,Really eat report to. Outside they eye out. Project happen white maybe read card.
