id,farm_id,size,location,soil_type
1,34,,atCU,rmGI
2,41,-147338765458.189,,XuzT
3,6,,,swCE
4,17,-2.63881602593158,nqWA,PBFd
5,34,-368272280.65626,duFx,
6,29,-1103.12876738567,,VIsP
7,42,-7921216513.85846,PDhw,RCPA
8,5,,IczI,wOaw
9,30,75.3875888700607,RTdt,GZIm
10,9,89800.9082910334,zhJd,quvd
11,34,8529368.78967168,bMPZ,
12,28,-32806.6365888085,NVIR,oskp
13,25,-33240429144.3994,Xrwm,KTuj
14,8,,eYym,
15,9,,WnNM,
16,27,-25197374378.7964,StNf,VgXT
17,4,124711343.45777,fCst,
18,5,-4620309.29866199,RJxH,MgOu
19,40,-15873580.8977272,XjNE,NLyH
20,30,-573258143.156624,,RiZe
21,13,48350476750.708,,
22,2,8282.51216302413,,UyJw
23,42,8.82432045852557,UEbX,mIZA
24,48,-59844636027864.9,JJpg,
25,4,-9356221385858.39,PnFD,lOPQ
26,17,,LLsH,IEYx
27,6,8080325457646.19,Irde,ClYF
28,3,,PtOG,jkLe
29,3,,RpGR,TkDc
30,45,,,hZHw
31,41,-54.3987231554684,hAYV,FUML
32,22,600891.646027472,TLDt,bvIE
33,44,-1807807139224.78,YxcX,LWlY
34,22,,tQlv,Eoyv
35,27,6104.46914291569,KCnD,
36,37,-57782565.7190705,,EmkE
37,44,69728977218530.0,kgkH,nRVh
38,2,,RhBm,
39,4,169062.405659627,,khAv
40,50,,GWoR,Ddhh
41,27,11676851298.1298,alqD,LHjt
42,16,-9345.84029193998,ourW,iUOF
43,26,,kvQm,piVN
44,7,-50890203.1014246,LlMY,bsgd
45,15,20088201.3545429,teQm,bKCy
46,38,,BQEn,rSRe
47,34,-503.362612433297,,NbQc
48,31,9.66222389458106,CmSC,Gaqp
49,26,71273786100878.4,,Wczx
50,4,,Snpm,ubNT
