id,field_id,crop_id
1,47,26
2,28,7
3,46,30
4,39,30
5,11,11
6,22,31
7,27,11
8,38,19
9,49,33
10,8,24
11,23,10
12,41,23
13,50,31
14,41,34
15,49,4
16,13,17
17,12,47
18,38,21
19,19,25
20,41,3
21,19,36
22,28,3
23,44,27
24,18,25
25,47,14
26,23,9
27,9,8
28,40,23
29,11,2
30,28,37
31,26,30
32,5,42
33,46,46
34,44,5
35,50,28
36,35,47
37,36,9
38,11,10
39,14,11
40,15,2
41,34,9
42,32,23
43,40,48
44,19,46
45,22,44
46,8,27
47,50,17
48,11,22
49,41,33
50,22,35
51,45,10
52,25,48
53,48,36
54,20,16
55,25,23
56,25,31
57,33,20
58,27,27
59,7,44
60,10,10
61,1,38
62,39,41
63,46,34
64,7,45
65,50,42
66,45,14
67,39,42
68,39,33
69,8,18
70,45,47
71,40,11
72,25,6
73,3,1
74,8,24
75,47,31
76,21,7
77,44,29
78,24,38
79,45,17
80,43,32
81,50,15
82,11,36
83,36,5
84,50,33
85,11,2
86,42,11
87,34,27
88,39,43
89,14,29
90,46,44
91,26,17
92,2,38
93,9,25
94,11,29
95,37,4
96,25,6
97,42,38
98,26,22
99,15,33
100,30,3
