id,field_id,crop_id,date,amount_harvested
1,31,40,,3852965717870.45
2,32,36,2026-01-06,-286542.674421931
3,12,15,2026-01-10,
4,39,10,2026-01-10,-7692594.29381867
5,31,26,2026-01-29,2189111744242.43
6,6,17,2026-01-29,286494372673.73
7,19,10,2026-01-22,
8,43,4,2026-01-15,
9,36,13,,16927548206.3986
10,36,45,2026-01-11,-3359719446.14021
11,45,7,2026-01-08,-926401.879944393
12,50,22,2026-01-13,85.833701977546
13,16,15,2026-01-10,3.63707814367807
14,18,15,,-67102136722.1683
15,33,22,,-6.24994753547114
16,28,15,2026-01-01,79495319.2202798
17,49,10,2026-01-19,930781328.751506
18,48,50,2026-01-10,663564134.523953
19,23,19,2026-01-03,
20,50,8,2026-01-21,-5507.6617202418
21,31,15,2026-01-10,30588407.341009
22,23,28,2026-01-24,71.5406595279821
23,50,50,2026-01-28,236200.713365655
24,7,31,2026-01-01,
25,10,23,2026-01-24,5104337562651.75
26,22,32,2026-01-15,5802494045.8722
27,25,30,2026-01-05,65905847511096.0
28,37,40,2026-01-08,4518304870910.39
29,20,32,2026-01-04,3942700242859.75
30,1,6,2026-01-02,-42.418602499546
31,15,28,2026-01-26,-6.364905491653
32,3,27,,-22854939817.6875
33,21,12,,-34485158979.9914
34,24,2,2026-01-27,
35,25,35,,
36,39,39,2026-01-11,
37,48,30,,
38,40,27,,
39,15,15,2026-01-15,441187999958.838
40,1,28,2026-01-13,81775792758.2912
41,3,40,2026-01-22,
42,23,46,2026-01-29,673616811157.746
43,30,42,,-4.5507288155911
44,17,7,2026-01-25,525.242564966505
45,45,10,2026-01-14,7923676424.75561
46,25,14,2026-01-15,-29.5401784014672
47,13,27,2026-01-17,
48,7,45,2026-01-26,
49,29,31,,-4.53175474131456
50,9,27,2026-01-24,
51,33,22,2026-01-06,427.191767826677
52,30,16,2026-01-11,-7635165072.27578
53,27,2,2026-01-27,-1587527.98917332
54,36,26,2026-01-11,-40615.3237601407
55,15,28,2026-01-02,97958236847555.3
56,10,15,2026-01-27,-67438153.1593572
57,32,39,2026-01-05,
58,34,44,,-8313038.62656337
59,34,41,2026-01-03,-2035858884.87106
60,10,22,,666879.53108732
61,11,50,2026-01-22,32766.9563677606
62,13,27,2026-01-02,
63,4,50,2026-01-14,-6079166546088.18
64,44,34,,-59894.4848389673
65,34,35,2026-01-08,61734418542.7437
66,28,10,2026-01-06,-4252.19746241552
67,43,37,2026-01-15,41148036731632.4
68,3,16,2026-01-12,-8566448140170.95
69,21,36,2026-01-16,
70,4,9,2026-01-09,14506814.28951
71,40,15,2026-01-18,
72,49,34,2026-01-27,5.46822895096023
73,19,44,2026-01-12,3860942799.8835
74,11,24,2026-01-19,-5958735570.11042
75,29,26,2026-01-03,114075989499.8
76,30,5,,602.686391666087
77,49,10,2026-01-14,2629.66933188496
78,30,46,2026-01-02,-9760.42460213708
79,46,3,,5.21600338118727
80,27,38,2026-01-08,-5609492189.38669
81,35,14,2026-01-10,144977028.484265
82,43,9,2026-01-24,65.6848026656756
83,20,25,2026-01-14,
84,39,47,2026-01-11,
85,27,40,2026-01-17,-7575.20094040952
86,48,2,2026-01-21,-54883714.353971
87,2,38,2026-01-03,7121419458.75575
88,10,30,2026-01-03,3728247.25638
89,18,15,2026-01-29,4431709520.43565
90,22,15,2026-01-02,-867.113351224338
91,6,3,,-98942362.5548504
92,37,32,,88.4375641302567
93,31,28,2026-01-08,-6.75279832704087
94,2,8,2026-01-08,4.87254204618998
95,9,49,,
96,46,28,2026-01-06,-588345110305.254
97,17,25,,-6722.8130946275
98,40,41,,940320344.380925
99,35,4,2026-01-24,19190546210376.4
100,11,32,2026-01-14,382947304507.349
