id,animal_id,date,type_of_treatment,medication_used
1,17,2026-01-25,oWpL,cGQm
2,40,2026-01-27,Fxlz,EFnC
3,17,2026-01-27,ySto,hHUD
4,38,,,YANU
5,15,2026-01-14,ufgX,jPoF
6,12,2026-01-26,ldDl,HVEi
7,39,2026-01-02,plmM,
8,47,2026-01-02,vwXE,tYvK
9,13,2026-01-17,uftO,zeSX
10,18,2026-01-24,NOuL,
11,43,2026-01-18,YBgV,hRbj
12,21,,IKxZ,pbfJ
13,8,,gQtB,ysuE
14,36,2026-01-03,WprS,vAYu
15,35,2026-01-03,,fecu
16,30,2026-01-28,,iVdt
17,28,2026-01-29,XqZM,
18,1,2026-01-11,PHZu,Jnni
19,43,2026-01-22,yTjf,qVUU
20,19,,yuRv,sOBv
21,45,2026-01-10,ObYW,
22,25,2026-01-21,juei,oHiE
23,21,2026-01-16,LcCT,CIjP
24,46,,GyfM,MpDO
25,15,2026-01-21,JuJo,
26,6,2026-01-03,brNz,Sjoo
27,29,,PZNA,MGWl
28,8,2026-01-08,QdVp,gLap
29,28,2026-01-29,hePc,
30,46,2026-01-10,pjnv,AHAf
31,10,2026-01-18,LfuP,
32,36,2026-01-19,hGud,
33,47,2026-01-04,dstT,cZkg
34,16,2026-01-19,,wskD
35,44,,QBWm,PVpf
36,20,2026-01-06,AkFL,HDIS
37,2,2026-01-26,lWaT,gbEj
38,4,2026-01-11,vKdf,GHqZ
39,25,2026-01-07,qvBh,
40,6,2026-01-20,SaUs,JStA
41,1,2026-01-16,FTtd,bFUi
42,29,2026-01-06,Qcnq,ohOH
43,43,2026-01-11,TmGs,BsZD
44,11,2026-01-24,NVKA,nnRa
45,49,2026-01-11,xVkt,
46,29,2026-01-11,cJBA,Ivni
47,43,,sfid,vdiP
48,1,2026-01-04,HhhU,dhjy
49,20,2026-01-15,bCgm,
50,31,2026-01-25,JaZo,kaKC
